Timestamp,Price_XST,Price_XQQ,Delta_$,Delta_%,Signal
2026-04-17 11:01:54,63.02,65.16,-2.14,-3.2842,
2026-04-17 11:02:33,63.02,65.16,-2.14,-3.2842,
2026-04-17 11:08:28,63.02,65.2,-2.18,-3.3,
2026-04-17 11:31:54,63.11,65.25,-2.14,-3.2797,
2026-04-17 11:38:29,62.85,65.25,-2.4,-3.7,
2026-04-17 11:41:21,62.85,65.23,-2.38,-3.6,
2026-04-17 12:01:54,62.88,65.17,-2.29,-3.5139,
2026-04-17 12:11:21,62.93,65.24,-2.31,-3.5,
2026-04-17 12:31:54,63.1,65.2,-2.1,-3.2209,
2026-04-17 12:41:21,63.05,65.28,-2.23,-3.4,
2026-04-17 13:05:06,62.92,65.26,-2.34,-3.5857,
2026-04-17 13:11:33,62.7,65.19,-2.49,-3.8,
2026-04-17 13:35:06,62.74,65.06,-2.32,-3.5659,
2026-04-17 13:41:33,62.74,65.08,-2.34,-3.6,
2026-04-17 14:05:07,62.77,65.15,-2.38,-3.6531,
2026-04-17 14:11:33,62.77,65.07,-2.3,-3.5,
2026-04-17 14:33:23,62.8,65.11,-2.31,-3.5,
2026-04-17 14:35:07,62.8,65.11,-2.31,-3.5478,
2026-04-17 14:37:15,62.8,65.11,-2.31,-3.5,
2026-04-17 15:05:07,62.72,65.07,-2.35,-3.6115,
2026-04-17 15:07:15,62.74,65.07,-2.33,-3.6,
2026-04-17 15:35:07,62.8,65.13,-2.33,-3.5775,
2026-04-17 15:37:16,62.8,65.12,-2.32,-3.6,
2026-04-17 16:05:07,62.81,65.2,-2.39,-3.6656,
2026-04-17 16:35:08,62.8,65.19,-2.39,-3.6662,
2026-04-20 09:30:00,,,,,DATA ERROR
2026-04-20 09:36:47,62.74,65.13,-2.39,-3.7,
2026-04-20 09:39:49,62.74,65.0,-2.26,-3.4769,
2026-04-20 10:06:47,63.0,65.02,-2.02,-3.1,
2026-04-20 10:09:49,63.02,65.02,-2.0,-3.076,
2026-04-20 10:36:47,63.07,64.91,-1.84,-2.8,
2026-04-20 10:39:49,63.07,64.93,-1.86,-2.8646,
2026-04-20 11:06:48,63.11,64.6,-1.49,-2.3,
